Fund,Fund Description,Fund ID,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Appropriations 2015,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,Expenditures 2013,Expenditures 2014
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,37,West Central Regional Planning Commission,West Central Regional Planning Commission,Yearly Dues,,"The West Central Regional Planning Commission Annual Dues were paid for from this line item. Beginning in 2009, these dues were paid out of the County Adminstration line item.",County Board Office,19100.00,9600.00,9600.00,12000.00,12000.00,15000.00,18000.00,18000.00,10000.00,10000.00,10000.00,9536.00,9536.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21367.00,11871.00,11666.00,2370.00,19072.00,0.00,19072.00,9536.00,9536.00,9536.00,9536.00,0.00,9536.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,38,Development Commission,Development Commission,Salaries & Benefits,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0.00,0.00,0.00,0.00,0.00,23500.00,24700.00,25660.00,26740.00,27940.00,27945.00,29628.00,29950.00,31139.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21540.00,24700.00,25660.00,26740.00,26776.00,27940.00,29628.00,29941.00,31139.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,38,Development Commission,Development Commission,Office Supplies,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0.00,0.00,0.00,0.00,0.00,2000.00,1500.00,1502.00,2000.00,1900.00,1900.00,650.00,592.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,657.00,1022.00,1502.00,1003.00,907.00,313.00,599.00,592.00,690.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,38,Development Commission,Development Commission,Postage,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0.00,0.00,0.00,0.00,0.00,2500.00,1500.00,1500.00,1360.00,1460.00,1460.00,500.00,500.00,500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,504.00,905.00,342.00,1146.00,187.00,52.00,166.00,175.00,138.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,38,Development Commission,Development Commission,Travel,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0.00,0.00,0.00,0.00,0.00,3000.00,5000.00,5000.00,3041.00,3958.00,3759.00,5000.00,1896.00,1705.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2638.00,3340.00,3985.00,2876.00,2981.00,2351.00,2931.00,1397.00,1680.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,38,Development Commission,Development Commission,Printing,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0.00,0.00,0.00,0.00,0.00,2500.00,1500.00,1500.00,734.00,1400.00,1400.00,2309.00,599.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,291.00,928.00,1094.00,659.00,772.00,27.00,1375.00,452.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,38,Development Commission,Development Commission,Telephone,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0.00,0.00,0.00,0.00,0.00,3000.00,2750.00,2750.00,1650.00,2500.00,2500.00,2500.00,2220.00,1902.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1141.00,808.00,966.00,1572.00,1585.00,1545.00,1579.00,1255.00,1371.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,38,Development Commission,Development Commission,Office Rent,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0.00,0.00,0.00,0.00,0.00,1800.00,2400.00,2400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1800.00,2400.00,1400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,38,Development Commission,Development Commission,Website Hosting/Maintenance,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1500.00,959.00,1042.00,1000.00,1250.00,1592.00,1489.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,959.00,1099.00,959.00,1042.00,959.00,959.00,1592.00,1489.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,38,Development Commission,Development Commission,Miscellaneous,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0.00,0.00,0.00,0.00,0.00,15054.00,4600.00,0.00,0.00,0.00,0.00,0.00,5901.00,3810.00,0.00,0.00,0.00,0.00,0.00,0.00,50000.00,0.00,0.00,0.00,0.00,0.00,6130.00,265.00,0.00,0.00,0.00,0.00,0.00,4120.00,3810.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,38,Development Commission,Development Commission,Grant Administration,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21098.00,10500.00,12650.00,2390.00,8164.00,4750.00,8095.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20180.00,11292.00,12079.00,2391.00,5667.00,3359.00,7309.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,38,Development Commission,Development Commission,Conferences/Training,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2000.00,1166.00,2000.00,2000.00,2000.00,2000.00,2300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1562.00,1150.00,1166.00,1260.00,1361.00,1323.00,1799.00,1648.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,38,Development Commission,Development Commission,IDNR Com Planning,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1500.00,16980.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1500.00,16980.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,38,Development Commission,Development Commission,County Grant,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,7500.00,7000.00,7000.00,7000.00,25000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7500.00,7000.00,7000.00,7000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,38,Development Commission,Development Commission,Equipment,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0.00,0.00,0.00,0.00,0.00,5000.00,3750.00,3750.00,960.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2787.00,380.00,691.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,39,Superintendent of Education,Superintendent of Education,Salaries & Benefits,http://www.roe40.com/,"The line item, under control of the Regional Superintendent of Schools, helps to fund expenses of the ROE #40 office in conjunction with three other counties in the region. The annual appropriated amount is based upon a formula that includes the county's EAV.",Superintendent of Education,47042.00,48842.00,51240.00,54598.00,59407.00,61413.00,66104.00,67830.00,65041.00,67592.00,67645.00,63342.00,67245.00,64815.00,78910.00,74965.00,73465.00,74965.00,68744.00,70048.00,71000.00,45408.00,48300.00,52218.00,54762.00,59407.00,61413.00,65845.00,65496.00,65041.00,67592.00,67646.00,63142.00,67226.00,64815.00,78910.00,74965.00,73465.00,74965.00,68744.00,70047.25
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,39,Superintendent of Education,Superintendent of Education,Office Supplies,http://www.roe40.com/,"The line item, under control of the Regional Superintendent of Schools, helps to fund expenses of the ROE #40 office in conjunction with three other counties in the region. The annual appropriated amount is based upon a formula that includes the county's EAV.",Superintendent of Education,3000.00,3000.00,3000.00,1617.00,1306.00,0.00,2800.00,2800.00,416.00,46.00,0.00,256.00,813.00,110.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2981.00,2329.00,2983.00,1617.00,880.00,0.00,1260.00,461.00,415.00,0.00,0.00,256.00,813.00,110.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,39,Superintendent of Education,Superintendent of Education,Postage,http://www.roe40.com/,"The line item, under control of the Regional Superintendent of Schools, helps to fund expenses of the ROE #40 office in conjunction with three other counties in the region. The annual appropriated amount is based upon a formula that includes the county's EAV.",Superintendent of Education,4000.00,4000.00,4000.00,2928.00,4000.00,3902.00,4000.00,2407.00,3450.00,700.00,400.00,500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4000.00,3926.00,3776.00,2928.00,2002.00,3900.00,1718.00,2293.00,2000.00,700.00,400.00,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,39,Superintendent of Education,Superintendent of Education,Travel,http://www.roe40.com/,"The line item, under control of the Regional Superintendent of Schools, helps to fund expenses of the ROE #40 office in conjunction with three other counties in the region. The annual appropriated amount is based upon a formula that includes the county's EAV.",Superintendent of Education,3500.00,3172.00,2500.00,2500.00,3538.00,3983.00,4319.00,5097.00,6380.00,2867.00,3023.00,1000.00,705.00,2119.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3472.00,3122.00,2513.00,2646.00,3538.00,3901.00,4318.00,5097.00,6380.00,2867.00,3024.00,947.00,705.00,2119.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,39,Superintendent of Education,Superintendent of Education,Printing,http://www.roe40.com/,"The line item, under control of the Regional Superintendent of Schools, helps to fund expenses of the ROE #40 office in conjunction with three other counties in the region. The annual appropriated amount is based upon a formula that includes the county's EAV.",Superintendent of Education,0.00,0.00,2000.00,0.00,0.00,0.00,1795.00,1795.00,704.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2797.00,0.00,0.00,0.00,0.00,1583.00,704.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,39,Superintendent of Education,Superintendent of Education,Publishing,http://www.roe40.com/,"The line item, under control of the Regional Superintendent of Schools, helps to fund expenses of the ROE #40 office in conjunction with three other counties in the region. The annual appropriated amount is based upon a formula that includes the county's EAV.",Superintendent of Education,1250.00,1250.00,0.00,1268.00,2000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,966.00,1250.00,0.00,1268.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,39,Superintendent of Education,Superintendent of Education,Telephone,http://www.roe40.com/,"The line item, under control of the Regional Superintendent of Schools, helps to fund expenses of the ROE #40 office in conjunction with three other counties in the region. The annual appropriated amount is based upon a formula that includes the county's EAV.",Superintendent of Education,7780.00,8102.00,7000.00,11279.00,8798.00,6533.00,6681.00,4942.00,5171.00,4465.00,6785.00,1163.00,2556.00,2278.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6213.00,8102.00,8761.00,11279.00,8798.00,6533.00,4049.00,4942.00,5171.00,4465.00,3785.00,1163.00,2556.00,2278.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,39,Superintendent of Education,Superintendent of Education,Equipment Repair,http://www.roe40.com/,"The line item, under control of the Regional Superintendent of Schools, helps to fund expenses of the ROE #40 office in conjunction with three other counties in the region. The annual appropriated amount is based upon a formula that includes the county's EAV.",Superintendent of Education,1400.00,1400.00,2000.00,625.00,3110.00,10000.00,1000.00,3848.00,1300.00,132.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1399.00,1400.00,1916.00,625.00,3110.00,10000.00,0.00,3848.00,837.00,132.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,39,Superintendent of Education,Superintendent of Education,Office Rent,http://www.roe40.com/,"The line item, under control of the Regional Superintendent of Schools, helps to fund expenses of the ROE #40 office in conjunction with three other counties in the region. The annual appropriated amount is based upon a formula that includes the county's EAV.",Superintendent of Education,15250.00,15250.00,17690.00,17690.00,18300.00,18402.00,18910.00,19012.00,19622.00,19520.00,20130.00,21960.00,19031.00,17283.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15250.00,15250.00,17690.00,17741.00,18300.00,18402.00,18910.00,19012.00,19622.00,19520.00,20130.00,20232.00,19031.00,17283.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,39,Superintendent of Education,Superintendent of Education,Miscellaneous,http://www.roe40.com/,"The line item, under control of the Regional Superintendent of Schools, helps to fund expenses of the ROE #40 office in conjunction with three other counties in the region. The annual appropriated amount is based upon a formula that includes the county's EAV.",Superintendent of Education,400.00,407.00,400.00,53.00,400.00,400.00,400.00,400.00,390.00,0.00,0.00,0.00,1150.00,0.00,0.00,0.00,0.00,0.00,0.00,7609.73,0.00,164.00,407.00,400.00,53.00,288.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,929.00,0.00,0.00,0.00,0.00,0.00,0.00,7609.73
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,39,Superintendent of Education,Superintendent of Education,Office Machine Rent,http://www.roe40.com/,"The line item, under control of the Regional Superintendent of Schools, helps to fund expenses of the ROE #40 office in conjunction with three other counties in the region. The annual appropriated amount is based upon a formula that includes the county's EAV.",Superintendent of Education,4000.00,4000.00,3500.00,3500.00,4044.00,3916.00,4295.00,3900.00,4957.00,5412.00,5346.00,1379.00,0.00,3065.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2747.00,3758.00,3464.00,3762.00,4044.00,3916.00,3900.00,3900.00,4957.00,5412.00,5339.00,1379.00,0.00,3065.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,39,Superintendent of Education,Superintendent of Education,Insurance,http://www.roe40.com/,"The line item, under control of the Regional Superintendent of Schools, helps to fund expenses of the ROE #40 office in conjunction with three other counties in the region. The annual appropriated amount is based upon a formula that includes the county's EAV.",Superintendent of Education,800.00,800.00,800.00,800.00,800.00,155.00,800.00,800.00,800.00,266.00,319.00,399.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,800.00,342.00,800.00,800.00,503.00,155.00,155.00,793.00,590.00,266.00,319.00,110.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,40,Solid Waste Management,Solid Waste Management,Salaries & Benefits,,Expenses from this line item regard the state's requirement for a solid waste management plan and implementation of it.,County Board Office,1000.00,1200.00,1000.00,1000.00,1000.00,1500.00,1500.00,1500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,40,Solid Waste Management,Solid Waste Management,Office Supplies,,Expenses from this line item regard the state's requirement for a solid waste management plan and implementation of it.,County Board Office,1000.00,830.00,1000.00,1000.00,1000.00,500.00,500.00,500.00,4775.00,4775.00,5000.00,0.00,10000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,447.00,830.00,645.00,0.00,0.00,0.00,0.00,0.00,4775.00,4775.00,4775.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,40,Solid Waste Management,Solid Waste Management,Travel,,Expenses from this line item regard the state's requirement for a solid waste management plan and implementation of it.,County Board Office,500.00,470.00,500.00,500.00,500.00,500.00,500.00,500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.00,253.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,41,Planning Commission,Planning Commission,Miscellaneous,,These expenses regard the agreement entered into by Resolution 1991.57 for help from the Planning Commission regarding a grant appliation for solid waste management.,County Board Office,100.00,100.00,100.00,7550.00,6190.00,7240.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3138.00,3612.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,42,County Extension Service,County Extension Service,County Match,,This line item spent the funds collected that resulted from the county tax levy to be distributed to the Macoupin County Extension Service annually. These funds and expsense are now handled by the County Extension Service Special Fund.,County Board Office,10000.00,10000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10000.00,10000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,43,Public Works & Transportation,Public Works & Transportation,County Match to Highways,,These expenses helped cover public works projects that are now paid for by the Highway Department's Special Funds.,County Highway Engineer,0.00,0.00,0.00,0.00,0.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,44,Highways & Streets,Highways & Streets,County Match to Highways,,These expenses helped cover public works projects that are now paid for by the Highway Department's Special Funds.,County Highway Engineer,1200.00,1200.00,0.00,1200.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,142,Sheriff New Vehicle Fleet,Sheriff New Vehicle Fleet,Purchase of New Vehicles,,"The line item, under the control of the Sheriff, allows for the expense to purchase or lease new patrol vehicles. Expenditures from this fund shall require approval by the County Board and are contingent on realizing revenues from Federal Prisoners.",Sheriff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22852.92,0.00
