Fund,Fund Description,Fund ID,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Appropriations 2015,Appropriations 2016,Appropriations 2017,Appropriations 2018,Appropriations 2019,Appropriations 2020,Appropriations 2021,Appropriations 2022,Appropriations 2023,Appropriations 2024,Appropriations 2025,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,Expenditures 2013,Expenditures 2014,Expenditures 2015,Expenditures 2016,Expenditures 2017,Expenditures 2018,Expenditures 2019,Expenditures 2020,Expenditures 2021,Expenditures 2022,Expenditures 2023,Expenditures 2024,Expenditures 2025
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,31,Jury Commission,Jury Commission,Telephone,,"The line item, under control of the Chief Judge, funds expenses of the Jury Commission.",Circuit Clerk,0,0,1250,0,1100,1100,665,1100,2898,1400,1100,1100,1098,1100,1000,799,734,799,799,800,790,790,965,800,176,176,176,176,200,200,0,0,0,1250,0,835,996,665,991,2898,399,604,651,569,583,798,617,548,617,614,672,790,748,731,768,176,121,104,143,172,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,31,Jury Commission,Jury Commission,Jury Commissioner,,"The line item, under control of the Chief Judge, funds expenses of the Jury Commission.",Circuit Clerk,2500,3000,300,4000,300,150,100,300,200,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2474,2994,131,3473,0,58,100,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,31,Jury Commission,Jury Commission,Miscellaneous,,"The line item, under control of the Chief Judge, funds expenses of the Jury Commission.",Circuit Clerk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,32,Circuit Clerk,Circuit Clerk,Salaries & Benefits,http://macoupincountyil.gov/circuit_clerk.htm,"The Clerk of the Circuit Court of Macoupin County is the keeper of the records for the Court. The Clerk is responsible for serving the court, the legal profession and the general public.",Circuit Clerk,272040,287659,312680,314739,336856,366408,379609,379609,375848,412378,415768,415769,430983,420522,373812,476957,498998,521085,534074,447555,454413,452987,450473,466475,475573,480636,438578,483072,491835,480279,445494,272040,287659,312562,312449,323159,335184,352528,364522,370174,364092,372666,392189,388296,419868,373760,416223,498998,521082,527463,434724,454413,438557,450473,464422,480636,459794,423100,482930,484806,470290,443213
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,32,Circuit Clerk,Circuit Clerk,Office Supplies,http://macoupincountyil.gov/circuit_clerk.htm,"The Clerk of the Circuit Court of Macoupin County is the keeper of the records for the Court. The Clerk is responsible for serving the court, the legal profession and the general public.",Circuit Clerk,8308,9403,14297,23528,18528,18528,20000,20000,20000,22009,19889,20000,20000,22368,15779,21250,13708,7928,13887,19745,11222,25965,13356,11250,10484,10100,10950,8950,10946,9350,15659,8308,9370,14297,19296,17965,18109,19566,17773,19599,22009,18605,19807,18859,22368,15779,22732,13708,7928,13887,19745,10987,25965,13356,11085,10100,6116,7989,8052,10946,8189,15659
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,32,Circuit Clerk,Circuit Clerk,Postage,http://macoupincountyil.gov/circuit_clerk.htm,"The Clerk of the Circuit Court of Macoupin County is the keeper of the records for the Court. The Clerk is responsible for serving the court, the legal profession and the general public.",Circuit Clerk,12820,12000,20604,20995,22407,20224,18528,18528,20196,20196,20196,20196,20196,20196,17773,177,176,176,176,1000,9000,10000,9000,10731,10129,10000,10692,10000,12862,12000,11300,12804,12000,20604,20942,18114,19714,18100,18336,19169,19639,20162,20196,20196,20195,17773,176,176,176,176,636,8658,9940,8186,10731,10000,9042,10692,10000,12862,11153,10943
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,32,Circuit Clerk,Circuit Clerk,Travel,http://macoupincountyil.gov/circuit_clerk.htm,"The Clerk of the Circuit Court of Macoupin County is the keeper of the records for the Court. The Clerk is responsible for serving the court, the legal profession and the general public.",Circuit Clerk,1274,1695,972,1500,1500,1500,1500,1500,1500,1000,554,1000,1079,515,325,464,325,325,325,370,355,325,425,330,346,446,397,396,400,450,450,1274,1695,972,477,436,385,502,295,544,34,125,350,1079,389,325,325,325,325,325,370,355,325,425,325,446,375,375,375,375,450,450
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,32,Circuit Clerk,Circuit Clerk,Publishing,http://macoupincountyil.gov/circuit_clerk.htm,"The Clerk of the Circuit Court of Macoupin County is the keeper of the records for the Court. The Clerk is responsible for serving the court, the legal profession and the general public.",Circuit Clerk,0,0,0,0,0,0,0,0,0,0,0,0,250,251,0,0,0,0,0,0,100,0,500,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,600
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,32,Circuit Clerk,Circuit Clerk,Telephone,http://macoupincountyil.gov/circuit_clerk.htm,"The Clerk of the Circuit Court of Macoupin County is the keeper of the records for the Court. The Clerk is responsible for serving the court, the legal profession and the general public.",Circuit Clerk,2548,2093,2388,2763,2838,3500,3500,3500,4330,4000,4000,4163,4000,4000,3220,5525,2526,2320,2200,2451,2703,2528,3125,3003,0,0,0,0,0,0,0,2548,2093,2388,2763,2838,3029,2593,2720,4330,3078,3146,4125,3212,3361,3168,3500,2526,2320,2136,2451,2703,2498,2578,3003,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,32,Circuit Clerk,Circuit Clerk,Office Machine Rent,http://macoupincountyil.gov/circuit_clerk.htm,"The Clerk of the Circuit Court of Macoupin County is the keeper of the records for the Court. The Clerk is responsible for serving the court, the legal profession and the general public.",Circuit Clerk,5186,5849,6538,5400,5000,5000,5000,5000,5000,5194,5272,5000,5622,4641,5751,5197,2964,2918,3313,3000,2795,2599,3079,3500,5017,5000,1307,1974,3000,3805,2732,5186,5849,6539,4519,4754,4622,4892,4816,3767,5194,5273,4790,5622,4641,5751,5196,2964,2918,3313,2667,2644,2579,2557,1528,5000,1784,1070,1325,1325,1614,1325
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,32,Circuit Clerk,Circuit Clerk,Insurance,http://macoupincountyil.gov/circuit_clerk.htm,"The Clerk of the Circuit Court of Macoupin County is the keeper of the records for the Court. The Clerk is responsible for serving the court, the legal profession and the general public.",Circuit Clerk,375,625,325,325,411,500,500,500,545,762,784,500,500,598,500,637,323,339,12,33,40,2,34,32,200,200,200,200,200,0,0,375,625,325,325,411,305,227,405,545,762,784,444,388,598,500,498,323,339,12,10,40,2,12,0,200,0,102,40,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,32,Circuit Clerk,Circuit Clerk,Periodicals,http://macoupincountyil.gov/circuit_clerk.htm,"The Clerk of the Circuit Court of Macoupin County is the keeper of the records for the Court. The Clerk is responsible for serving the court, the legal profession and the general public.",Circuit Clerk,0,0,0,0,0,0,0,0,561,926,0,0,0,0,0,0,0,0,0,0,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,926,0,0,0,0,0,0,0,0,8,0,731,0,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,32,Circuit Clerk,Circuit Clerk,Equipment,http://macoupincountyil.gov/circuit_clerk.htm,"The Clerk of the Circuit Court of Macoupin County is the keeper of the records for the Court. The Clerk is responsible for serving the court, the legal profession and the general public.",Circuit Clerk,1618,375,0,0,3600,2000,2000,2000,2000,2000,2000,1819,2000,1850,1030,2125,17139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1618,375,0,0,1203,1005,367,0,0,1143,538,0,1049,1500,1030,2000,17139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,32,Circuit Clerk,Circuit Clerk,Publications,http://macoupincountyil.gov/circuit_clerk.htm,"The Clerk of the Circuit Court of Macoupin County is the keeper of the records for the Court. The Clerk is responsible for serving the court, the legal profession and the general public.",Circuit Clerk,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,1500,1500,1000,1000,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,564,798,750,675,525,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,32,Circuit Clerk,Circuit Clerk,Miscellaneous,http://macoupincountyil.gov/circuit_clerk.htm,"The Clerk of the Circuit Court of Macoupin County is the keeper of the records for the Court. The Clerk is responsible for serving the court, the legal profession and the general public.",Circuit Clerk,0,0,0,0,0,500,500,500,500,500,500,518,370,360,74,19,12,0,8,0,0,427,844,1500,1357,1100,2500,1191,2500,541,790,0,0,0,0,0,356,0,0,34,95,0,18,146,103,74,18,0,0,0,0,0,427,636,1009,1100,755,2007,1191,1666,475,790
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,32,Circuit Clerk,Circuit Clerk,Equipment Purchase & Maintenance,http://macoupincountyil.gov/circuit_clerk.htm,"The Clerk of the Circuit Court of Macoupin County is the keeper of the records for the Court. The Clerk is responsible for serving the court, the legal profession and the general public.",Circuit Clerk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,992,589,846,0,167,935,950,500,500,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,992,589,413,0,167,151,159,500,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,33,States Attorney,States Attorney,Salaries & Benefits,http://www.macoupinco-sao.com/,"The Macoupin County State's Attorney's Office acts on behalf of the citizens of the State of Illinois in prosecuting crimes committed in Macoupin County, Illinois",State's Attorney,240640,247506,250853,260433,306767,323433,348896,351658,351558,367144,370375,388513,398038,419478,414122,377161,412576,437056,433990,400910,397428,385061,389560,395105,413651,414439,413218,419737,451764,423951,463959,240640,246449,250853,260433,306767,323331,348896,351299,351558,367144,370377,388514,398039,419428,414122,377161,412561,435976,415369,373422,375719,373464,372659,386978,414439,414439,380461,412719,395262,406452,398323
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,33,States Attorney,States Attorney,Office Supplies,http://www.macoupinco-sao.com/,"The Macoupin County State's Attorney's Office acts on behalf of the citizens of the State of Illinois in prosecuting crimes committed in Macoupin County, Illinois",State's Attorney,3000,3560,3634,4722,3300,2683,5514,5304,5508,4651,4817,4143,5727,3008,2521,1593,4664,4000,6357,7206,9474,13916,10290,8117,6980,6474,5000,5979,5140,5587,5000,2537,3560,3632,4722,2653,2683,5514,5304,5363,4651,4817,4143,5727,3008,2498,1593,4664,3897,6357,7206,9474,13916,10290,8117,6474,6474,4725,5979,5140,5587,3609
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,33,States Attorney,States Attorney,Postage,http://www.macoupinco-sao.com/,"The Macoupin County State's Attorney's Office acts on behalf of the citizens of the State of Illinois in prosecuting crimes committed in Macoupin County, Illinois",State's Attorney,2750,2693,2936,2800,3050,2805,3700,3700,3700,2955,1437,2393,1536,787,1280,186,2393,1500,1472,1636,3500,905,1303,781,1579,572,1000,1000,1000,871,1000,2312,1700,2936,2756,3050,2805,3381,2365,3443,2885,1437,2393,1536,687,1280,186,2393,1469,1087,1155,1499,905,1303,781,572,568,711,840,899,871,456
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,33,States Attorney,States Attorney,Travel,http://www.macoupinco-sao.com/,"The Macoupin County State's Attorney's Office acts on behalf of the citizens of the State of Illinois in prosecuting crimes committed in Macoupin County, Illinois",State's Attorney,0,583,70,1003,1270,454,1969,2580,1435,712,581,2504,1940,2237,2659,770,1993,320,545,783,919,1804,1211,0,0,0,0,0,0,0,0,0,583,70,1003,1270,454,1969,2580,791,712,581,2504,1940,1937,2659,770,1993,320,545,783,598,1804,1211,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,33,States Attorney,States Attorney,Publishing,http://www.macoupinco-sao.com/,"The Macoupin County State's Attorney's Office acts on behalf of the citizens of the State of Illinois in prosecuting crimes committed in Macoupin County, Illinois",State's Attorney,1000,1000,867,1000,1000,866,1000,1000,2299,1833,1670,1527,1512,905,1455,781,672,1172,1172,839,2500,1373,1950,427,1171,708,1500,1500,1773,3352,1731,734,594,867,945,358,866,965,1388,2255,1833,1670,1527,1512,905,1455,781,672,1021,1145,168,1920,1373,1933,427,708,708,1302,1232,1773,3352,1731
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,33,States Attorney,States Attorney,Psychological Evaluation & Testing,http://www.macoupinco-sao.com/,"The Macoupin County State's Attorney's Office acts on behalf of the citizens of the State of Illinois in prosecuting crimes committed in Macoupin County, Illinois",State's Attorney,0,1000,0,771,269,0,201,1030,1030,0,0,2775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,753,269,0,0,1030,0,0,0,2775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,33,States Attorney,States Attorney,Witness & Investigation,http://www.macoupinco-sao.com/,"The Macoupin County State's Attorney's Office acts on behalf of the citizens of the State of Illinois in prosecuting crimes committed in Macoupin County, Illinois",State's Attorney,5123,5135,8831,5971,5592,5707,6522,7500,5000,2984,5913,7524,5600,2999,1686,900,403,1500,1500,3000,3000,1865,1516,568,3068,0,2250,2247,2250,6867,2250,5123,5095,8831,5971,5592,5707,4559,6184,3685,2984,5882,7524,5598,2912,1685,900,403,1277,132,2889,1452,1865,1040,568,0,0,990,974,602,6867,1596
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,33,States Attorney,States Attorney,Telephone,http://www.macoupinco-sao.com/,"The Macoupin County State's Attorney's Office acts on behalf of the citizens of the State of Illinois in prosecuting crimes committed in Macoupin County, Illinois",State's Attorney,5900,6900,5608,5219,6556,6621,6900,6286,5575,4992,5010,6194,5476,6077,5135,4203,4318,6801,2769,4440,3986,4114,2900,2918,0,0,0,0,0,0,0,5874,5316,5608,5219,6215,6621,5842,5330,5106,4992,4988,6193,5476,6052,5133,4203,4318,6801,2600,3290,3093,4114,2795,2918,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,33,States Attorney,States Attorney,Machine Rent,http://www.macoupinco-sao.com/,"The Macoupin County State's Attorney's Office acts on behalf of the citizens of the State of Illinois in prosecuting crimes committed in Macoupin County, Illinois",State's Attorney,3805,3959,3522,3690,3860,3663,3985,3760,3760,3341,2754,3125,3528,2334,2930,2316,3150,9328,11561,3000,3725,5633,4169,2480,2500,1707,2000,2305,4156,1179,2000,3805,3959,3522,3671,3860,3663,3509,3760,3489,3241,2754,3125,3528,2334,2930,2316,3150,9328,11561,2746,3725,5633,4169,2480,1707,1707,877,2305,4156,1179,1782
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,33,States Attorney,States Attorney,Miscellaneous,http://www.macoupinco-sao.com/,"The Macoupin County State's Attorney's Office acts on behalf of the citizens of the State of Illinois in prosecuting crimes committed in Macoupin County, Illinois",State's Attorney,3042,2000,1624,1477,788,2280,2100,2100,2450,1519,1787,1697,2717,2365,906,2416,369,2716,4516,0,3180,2309,517,885,1020,688,2683,2002,2000,8876,2000,3042,1636,1623,1477,788,2280,1443,1914,2450,1519,1786,1697,2717,2365,883,2416,369,2716,4516,0,2464,2309,517,885,688,688,3322,2002,370,8876,1730
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,33,States Attorney,States Attorney,Equipment,http://www.macoupinco-sao.com/,"The Macoupin County State's Attorney's Office acts on behalf of the citizens of the State of Illinois in prosecuting crimes committed in Macoupin County, Illinois",State's Attorney,363,375,832,680,500,6409,200,8480,161,897,0,228,4583,336,131,83,2,0,0,0,0,0,0,0,0,0,2324,151,408,16919,300,360,271,832,680,495,6409,200,8480,161,897,0,228,4580,4873,2127,1048,0,0,0,0,0,0,0,0,0,0,2324,151,408,16919,300
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,33,States Attorney,States Attorney,"Book, Transcript & Periodicals",http://www.macoupinco-sao.com/,"The Macoupin County State's Attorney's Office acts on behalf of the citizens of the State of Illinois in prosecuting crimes committed in Macoupin County, Illinois",State's Attorney,4660,3750,3700,3201,3334,3239,5400,5626,5626,3973,3254,4977,5843,4873,2127,1048,879,3237,3237,3535,3289,1924,2132,1552,1995,1399,1500,1890,1521,1217,1500,4660,2824,3700,3201,3334,3240,5173,5626,3813,3973,3254,4977,5843,336,120,83,879,3237,2808,3535,3289,1924,2132,1552,1399,1399,1349,1890,1521,1217,232
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,33,States Attorney,States Attorney,Education & Training,http://www.macoupinco-sao.com/,"The Macoupin County State's Attorney's Office acts on behalf of the citizens of the State of Illinois in prosecuting crimes committed in Macoupin County, Illinois",State's Attorney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,2510,3000,3000,2155,951,3667,2335,2884,3000,3285,3075,3528,2469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1597,2510,2561,2836,2155,951,3667,2884,2884,2590,3285,3075,3528,1563
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,33,States Attorney,States Attorney,Appellate Assistant Service,http://www.macoupinco-sao.com/,"The Macoupin County State's Attorney's Office acts on behalf of the citizens of the State of Illinois in prosecuting crimes committed in Macoupin County, Illinois",State's Attorney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21000
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,34,Aid to Dependent Children,Aid to Dependent Children,Miscellaneous,,This line item covered the expenses previously held on the County regarding dependent children.,County Board Office,0,0,1000,1000,1000,1000,1000,1000,955,100,100,100,100,0,0,0,0,0,0,4731,0,0,0,0,0,0,0,0,0,0,482209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4731,0,0,0,0,0,0,0,0,0,0,411322
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,35,Development,Development,Capital Outlay,,"In accordance with 55 ILCS 5/6-1002.5, the county may not appropriate an amount exceeding 5% of the amount appropriated to the County's General Fund for specific capital improvements. The amount appropriated in this fiscal year would primarily relate to renovations to the County Courthouse. Expenses resulting from the North Stair project will be partially reimbursed to the General Fund by the Illinois Landmarks grant and a new project to be expended from this fund contingent upon receiving revenues from coal royalties.",County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83998,288592,389000,235400,59856,380000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57038,100844,218775,220544,31102,43424,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",2,35,Development,Development,Miscellaneous-County & Community Development,,"In accordance with 55 ILCS 5/6-1002.5, the county may not appropriate an amount exceeding 5% of the amount appropriated to the County's General Fund for specific capital improvements. The amount appropriated in this fiscal year would primarily relate to renovations to the County Courthouse. Expenses resulting from the North Stair project will be partially reimbursed to the General Fund by the Illinois Landmarks grant and a new project to be expended from this fund contingent upon receiving revenues from coal royalties.",County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,8500,4000,4000,4000,3950,4000,4000,4000,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3950,2650,0,0,25,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,36,Soil Conservation,Soil Conservation,County Grant,,This line item covered the yearly contribution to the County Soil and Water Conservation District to help their efforts.,County Board Office,5000,5000,5000,5000,5000,5000,5000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,5000,5000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,37,West Central Regional Planning Commission,West Central Regional Planning Commission,Yearly Dues,,"The West Central Regional Planning Commission Annual Dues were paid for from this line item. Beginning in 2009, these dues were paid out of the County Adminstration line item.",County Board Office,19100,9600,9600,12000,12000,15000,18000,18000,10000,10000,10000,9536,9536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21367,11871,11666,2370,19072,0,19072,9536,9536,9536,9536,0,9536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,38,Development Commission,Development Commission,Salaries & Benefits,,This line item paid for the County's Economic Development Coordinator and efforts. That position was abolished in 2009 when the County entered into the Macoupin Economic Development Partnership (MEDP).,County Board Office,0,0,0,0,0,23500,24700,25660,26740,27940,27945,29628,29950,31139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21540,24700,25660,26740,26776,27940,29628,29941,31139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
